Article,Month,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"UK budget carrier EasyJet is proposing to close two of its four London bases, as well as its Newcastle station, as part of the cuts to cope with the coronavirus situation. The airline is looking to shut its London Stansted and London Southend bases, along with Newcastle, and to cut nearly 730 pilots and almost 1,300 cabin crew from its workforce. EasyJet stated last month that it was planning “optimisation” of its network and bases, and to reduce its fleet capacity. As a result, it said, it would start consulting employees on reducing staff numbers by up to 30%. EasyJet employed some 15,000 personnel at the end of its 2019 fiscal year, including nearly 4,000 pilots and more than 9,000 cabin crew. But the crisis has forced it to rethink its business plan, and the airline is expecting to fly only about 30% of its planned fourth-quarter capacity – the period covering the peak summer season from July to September. The airline estimates that its fleet at the end of 2021 to total just over 300 aircraft, a figure nearly 15% lower than originally planned. EasyJet has been undertaking steps to defer deliveries of new Airbus jets and raise capital by entering sale-and-leaseback deals. UK cockpit association BALPA states that it is “shocked” at the scale of the crew cuts which, it says, amounts to nearly one in three of its UK pilots. “We had been expecting EasyJet to make an announcement of temporary measures to help the airline through to recovery,” says BALPA general secretary, Brian Strutton. “This seems an excessive over-reaction.” He argues that ticket sales have started to rebound since EasyJet began restoring services, and points out that the airline has been highlighting its strong liquidity. “This is more evidence that aviation in the UK is caught in a death spiral of despair and individual airlines are flailing around without direction,” he adds. EasyJet has bases at London Gatwick and London Luton, as well as other stations in the UK.",6,0,4.0,0.1975,"airport, fleet, service, data, carrier, operation, passenger, number, operate, operator","['uk', 'budget', 'carrier', 'easyjet', 'propose', 'close', 'london', 'base', 'well', 'newcastle', 'station', 'part', 'cut', 'cope', 'coronavirus', 'situation', 'look', 'shut', 'london', 'stansted', 'london', 'southend', 'base', 'along', 'newcastle', 'cut', 'nearly', 'pilot', 'almost', 'cabin', 'crew', 'workforce', 'easyjet', 'state', 'month', 'planning', 'optimisation', 'network', 'base', 'reduce', 'fleet', 'capacity', 'result', 'say', 'start', 'consult', 'employee', 'reduce', 'staff', 'number', 'easyjet', 'employ', 'personnel', 'end', 'fiscal', 'include', 'nearly', 'pilot', 'cabin', 'crew', 'crisis', 'force', 'rethink', 'business', 'plan', 'expect', 'fly', 'plan', 'fourthquarter', 'capacity', 'period', 'cover', 'peak', 'summer', 'season', 'july', 'september', 'estimate', 'fleet', 'end', 'total', 'figure', 'nearly', 'low', 'originally', 'plan', 'easyjet', 'undertaking', 'step', 'defer', 'delivery', 'jet', 'raise', 'capital', 'enter', 'saleandleaseback', 'deal', 'uk', 'cockpit', 'association', 'balpa', 'state', 'shock', 'scale', 'crew', 'cut', 'say', 'amount', 'nearly', 'uk', 'pilot', 'expect', 'easyjet', 'make', 'announcement', 'temporary', 'measure', 'help', 'recovery', 'say', 'balpa', 'general', 'secretary', 'brian', 'strutton', 'seem', 'excessive', 'argues', 'ticket', 'sale', 'start', 'rebound', 'since', 'easyjet', 'begin', 'restore', 'service', 'point', 'highlight', 'strong', 'liquidity', 'evidence', 'uk', 'caught', 'death', 'spiral', 'despair', 'individual', 'flail', 'around', 'without', 'direction', 'add', 'easyjet', 'base', 'london', 'gatwick', 'london', 'luton', 'well', 'station', 'uk']"
"EasyJet's relationship agreement with founder Stelios Haji-Iaonnou has been terminated after his stake in the UK carrier dropped below the 30% threshold. In a 30 June notice to the London Stock Exchange, the airline discloses that “the Haji-Iaonnou family concert party” – comprised of EasyGroup Holdings and Polys Holdings – no longer holds more than 30% of EasyJet's issued share capital following the recent non-pre-emptive placing. “Accordingly, the relationship agreement between the company, EasyGroup and Sir Stelios dated 14 November 2014 (which was put in place to comply with the controlling shareholder regime set out in the listing rules) has terminated in accordance with its terms,” says EasyJet.  The Luton-based low-cost operator raised £419 million ($514 million) on 25 June by placing just under 15% of its share capital through an immediate accelerated bookbuilding process. Termination of the Haji-Iaonnou agreement follows a battle between EasyJet and its founder over an order for 107 Airbus aircraft which he demanded that the carrier cancel or renegotiate. He unsuccessfully sought to remove the airline's chairman, chief executive and chief financial officer plus an independent non-executive director from the board over the dispute.",6,1,8.0,0.3762,"government, uk, carrier, business, state, share, south, airway, financial, plan","['easyjet', 'relationship', 'agreement', 'founder', 'stelios', 'hajiiaonnou', 'terminate', 'stake', 'uk', 'carrier', 'drop', 'threshold', 'june', 'notice', 'london', 'stock', 'exchange', 'discloses', 'hajiiaonnou', 'family', 'concert', 'party', 'comprise', 'easygroup', 'holding', 'polys', 'holding', 'longer', 'hold', 'easyjet', 'issue', 'share', 'capital', 'follow', 'recent', 'nonpreemptive', 'place', 'accordingly', 'relationship', 'agreement', 'easygroup', 'sir', 'stelios', 'date', 'november', 'put', 'place', 'comply', 'control', 'shareholder', 'regime', 'set', 'listing', 'rule', 'terminate', 'accordance', 'term', 'say', 'easyjet', 'lutonbased', 'lowcost', 'operator', 'raise', 'june', 'place', 'share', 'capital', 'immediate', 'accelerate', 'bookbuilding', 'process', 'termination', 'hajiiaonnou', 'agreement', 'follow', 'battle', 'easyjet', 'founder', 'order', 'demand', 'carrier', 'cancel', 'renegotiate', 'unsuccessfully', 'sought', 'remove', 'chairman', 'chief', 'executive', 'chief', 'financial', 'officer', 'plus', 'independent', 'nonexecutive', 'director', 'board', 'dispute']"
"Norwegian has cancelled orders for 97 Boeing aircraft including examples of the troubled 737 Max and the 787 Dreamliner, and is claiming compensation for financial losses related to the two types. The Oslo-based low-cost carrier, which went into self-described “hibernation mode” at the outbreak of the coronavirus crisis three months ago, said on 29 June that it was terminating orders for 92 737 Max and five 787s, as well as the GoldCare service agreements related to the two types. Norwegian cancels Boeing orders, including five 787 Dreamliners “Norwegian has in addition filed a legal claim seeking the return of pre-delivery payments related to the aircraft and compensation for the company's losses related to the grounding of the 737 Max and engine issues on the 787,” the airline states in a Norwegian stock exchange filing. It claims the worldwide grounding of the Max as well as the “long-running reliability issues [of the 787]...resulting in premature and unplanned maintenance which has disrupted the company's operations” have “caused significant losses” for the airline. Norwegian's 787 fleet is powered by Rolls-Royce Trent 1000 engines. The carrier adds that it has been negotiating with Boeing, but that this dialogue has not yet “led to an agreement with a reasonable compensation to the company”. The announcement came on the day that the US Federal Aviation Administration (FAA) began flight testing the 737 Max with the goal of recertification in the coming weeks. The FAA's first certification flight took place between Seattle's Boeing Field and Moses Lake, Washington, about 120nm (216km) away. The FAA said that it expects the testing to take three days and will include a wide array of flight manoeuvres and emergency procedures to assess whether the changes to the aircraft's automated flight control system meet certification standards. The Max was grounded in March 2019 following two separate accidents which killed 346 passengers and crew. Norwegian, which is currently in a financial restructuring process, said last week that it has begun to reinstate flights as it reopens short-haul European links from Scandinavia following a nearly hundred-day hiatus during which it grounded about 95% of its fleet due to the coronavirus pandemic. The low-cost airline has been operating only a network of 13 domestic routes since the pandemic hit, using just eight aircraft. But it now plans to bring in 12 more aircraft and expand its network to 76 routes across Europe from its Scandinavian hubs beginning next month.",6,2,11.0,0.1531,"pilot, faa, issue, safety, include, report, require, training, ground, order","['norwegian', 'cancel', 'order', 'include', 'example', 'troubled', 'dreamliner', 'claim', 'compensation', 'financial', 'loss', 'related', 'type', 'oslobased', 'lowcost', 'carrier', 'go', 'selfdescribed', 'hibernation', 'mode', 'outbreak', 'coronavirus', 'crisis', 'month', 'ago', 'say', 'june', 'terminate', 'order', 'well', 'goldcare', 'service', 'agreement', 'related', 'type', 'norwegian', 'cancel', 'order', 'include', 'dreamliners', 'norwegian', 'addition', 'file', 'legal', 'claim', 'seek', 'return', 'predelivery', 'payment', 'related', 'compensation', 'loss', 'related', 'ground', 'engine', 'issue', 'state', 'norwegian', 'stock', 'exchange', 'filing', 'claim', 'worldwide', 'ground', 'well', 'longrunning', 'reliability', 'issue', 'result', 'premature', 'unplanned', 'maintenance', 'disrupt', 'operation', 'cause', 'significant', 'loss', 'norwegian', 'fleet', 'power', 'rollsroyce', 'trent', 'engine', 'carrier', 'add', 'negotiate', 'dialogue', 'yet', 'lead', 'agreement', 'reasonable', 'compensation', 'announcement', 'come', 'day', 'u', 'federal', 'administration', 'faa', 'begin', 'test', 'goal', 'recertification', 'come', 'week', 'faa', 'certification', 'take', 'place', 'seattle', 'field', 'moses', 'lake', 'washington', 'away', 'faa', 'say', 'expect', 'test', 'take', 'day', 'include', 'wide', 'array', 'manoeuvre', 'emergency', 'procedure', 'ass', 'whether', 'change', 'automate', 'control', 'system', 'meet', 'certification', 'standard', 'ground', 'march', 'follow', 'separate', 'accident', 'kill', 'passenger', 'crew', 'norwegian', 'currently', 'financial', 'restructuring', 'process', 'say', 'week', 'begin', 'reinstate', 'reopens', 'shorthaul', 'european', 'link', 'scandinavia', 'follow', 'nearly', 'hundredday', 'hiatus', 'ground', 'fleet', 'due', 'coronavirus', 'pandemic', 'lowcost', 'operating', 'network', 'domestic', 'route', 'since', 'pandemic', 'hit', 'use', 'plan', 'bring', 'expand', 'network', 'route', 'across', 'europe', 'scandinavian', 'hub', 'begin', 'next', 'month']"
"Canada's Porter Airlines will restart its operations a month later than previously planned due to ongoing coronavirus-prompted travel restrictions that continue to make business difficult. The Toronto-based regional carrier, which serves 19 destinations in eastern and central Canada as well as the northeastern USA, now says it is aiming to begin flying again by 31 August. “We want to see our planes in the sky as soon as possible and are actively working to prepare for our resumption of service,” the airline says on 28 June. “However, the ongoing uncertainty presented by government travel restrictions, including border closures, is impacting our ability to operate flights. We are closely watching developments and know that Porter will be an important part of providing people with travel options as the economy recovers.” Porter shuttered operations in March as the coronavirus pandemic was beginning to disrupt air traffic around the world. According to Cirium fleets data, the airline operates a fleet of 29 De Havilland Aircraft of Canada Dash 8-400 aircraft and has orders for 12 Airbus A220. Last week, Air Canada chief executive Calin Rovinsecu blasted the Canadian government for maintaining strict lockdown and quarantine requirements more than 100 days into the crisis. The measures, he told shareholders at the company's annual general meeting on 25 June, are “disproportionate”, and hindering the aviation industry's and the country's return to normalcy. “There is growing unease that .... increasingly these broad-brush blanket prohibitions and restrictions are less effectively combating Covid and more inhibiting our economic recovery,” he said. Passenger carriers need to be able to “prudently and cautiously do some business”. In March, Canada banned all non-nationals from entering the country, with few exceptions. All travellers entering Canada by land, sea or air, including citizens, are required to go into a mandatory 14-day quarantine. Even those travelling within the country and between provinces can be subject to requirements that may include self-isolation. The longest peaceful border in the world, between Canada and the United States, has been effectively sealed since 21 March, and the restrictions, extended on 24 June, will continue through at least 21 July.",6,3,12.0,0.3992,"travel, government, country, coronavirus, measure, restriction, passenger, state, march, canada","['canada', 'porter', 'restart', 'operation', 'month', 'later', 'previously', 'plan', 'due', 'ongoing', 'coronavirusprompted', 'travel', 'restriction', 'continue', 'make', 'business', 'difficult', 'torontobased', 'regional', 'carrier', 'serf', 'destination', 'eastern', 'central', 'canada', 'well', 'northeastern', 'usa', 'say', 'aim', 'begin', 'fly', 'august', 'want', 'see', 'plane', 'sky', 'soon', 'possible', 'actively', 'work', 'prepare', 'resumption', 'service', 'say', 'june', 'however', 'ongoing', 'uncertainty', 'present', 'government', 'travel', 'restriction', 'include', 'border', 'closure', 'impact', 'ability', 'operate', 'closely', 'watch', 'development', 'know', 'porter', 'important', 'part', 'provide', 'people', 'travel', 'option', 'economy', 'porter', 'shutter', 'operation', 'march', 'coronavirus', 'pandemic', 'begin', 'disrupt', 'traffic', 'around', 'world', 'accord', 'fleet', 'data', 'operates', 'fleet', 'de', 'havilland', 'canada', 'dash', 'order', 'week', 'canada', 'chief', 'executive', 'calin', 'rovinsecu', 'blast', 'canadian', 'government', 'maintain', 'strict', 'lockdown', 'quarantine', 'requirement', 'day', 'crisis', 'measure', 'told', 'shareholder', 'annual', 'general', 'meeting', 'june', 'disproportionate', 'hinder', 'industry', 'country', 'return', 'normalcy', 'grow', 'unease', 'increasingly', 'broadbrush', 'blanket', 'prohibition', 'restriction', 'less', 'effectively', 'combat', 'covid', 'inhibit', 'economic', 'recovery', 'say', 'passenger', 'carrier', 'need', 'able', 'prudently', 'cautiously', 'business', 'march', 'canada', 'ban', 'nonnationals', 'enter', 'country', 'exception', 'traveller', 'enter', 'canada', 'land', 'sea', 'include', 'citizen', 'require', 'go', 'mandatory', 'quarantine', 'even', 'travel', 'within', 'country', 'province', 'subject', 'requirement', 'may', 'include', 'selfisolation', 'long', 'peaceful', 'border', 'world', 'canada', 'united', 'state', 'effectively', 'seal', 'since', 'march', 'restriction', 'extend', 'june', 'continue', 'least', 'july']"
"The coronavirus crisis will reduce the overall output of carbon emissions from Europe's airlines, but a desire to cut capital expenditure will delay introduction of new aircraft, weakening unit CO2 performance, according to analysis from HSBC. “Prior to the pandemic, all airlines were set to improve their unit emissions performance from 2019 to 2023, thanks to fleet renewal and the optimisation of configurations,” writes the bank, but it adds that, post-Covid-19, “we expect capital expenditure on new aircraft to be lower than previously envisaged, leading to slower improvement in unit emissions”. HSBC notes that the pandemic is prompting the retirement of old, less-efficient aircraft such as Airbus A340s and A380s and Boeing 747s. However, reduced capex levels are likely to delay the retirement of middle-aged aircraft, raising unit levels of CO2.However, the coronavirus crisis may bring other changes that further complicate carriers' emissions. For Europe's three largest airline groups, IAG, Air France-KLM and Lufthansa, HSBC believes that corporate travel will reduce sharply, encouraging them to cut the premium share of seats. The resulting higher density will act to improve per-unit emissions, and could be enough to completely outweigh the impact of slower capex for these carriers. For example, HSBC expects IAG's 2023 emissions per available seat-kilometre to be 86.6g of CO2, against a pre-Covid-19 estimate of 85.2 and the current level of 95.9. But if the carrier pulls back from premium seats, it could be as low as 79.4 by 2023. Out of Europe's three largest low-cost carriers – EasyJet, Ryanair and Wizz Air – EasyJet currently has the highest CO2 emissions per ASK because it operates the smallest aircraft, while Wizz, operating larger A321s, has the lowest. HSBC expect this distinction to increase, as Ryanair and Wizz are both “planning to push on with their fleet development plans” while EasyJet has deferred 24 on-order aircraft. EasyJet's CO2 per ASK is seen declining to 80.8g by 2023 from 82.9g currently, although without the pandemic it would have fallen to 79.3g. Wizz's emissions will reduce from 73.1g to 69.4g and Ryanair's from 81.4g to 78.9g, with both airlines seeing a smaller fall in their per unit emissions than had the pandemic not occurred. Given the impact of the coronavirus on the industry, HSBC expects overall ASKs to be 10-12% lower than they would have been, with the sector as a whole remaining reliant on biofuels and offsetting schemes it if it is to hold emissions to 2019-20 levels, as has been agreed under ICAO's CORSIA programme.",6,4,9.0,0.3144,"industry, crisis, demand, coronavirus, global, iata, market, level, cargo, expect","['coronavirus', 'crisis', 'reduce', 'overall', 'output', 'carbon', 'emission', 'europe', 'desire', 'cut', 'capital', 'expenditure', 'delay', 'introduction', 'weaken', 'unit', 'performance', 'accord', 'analysis', 'hsbc', 'prior', 'pandemic', 'set', 'improve', 'unit', 'emission', 'performance', 'thanks', 'fleet', 'renewal', 'optimisation', 'configuration', 'writes', 'bank', 'add', 'postcoronavirus', 'expect', 'capital', 'expenditure', 'low', 'previously', 'envisage', 'lead', 'slow', 'improvement', 'unit', 'emission', 'hsbc', 'note', 'pandemic', 'prompt', 'retirement', 'old', 'lessefficient', 'however', 'reduce', 'capex', 'level', 'likely', 'delay', 'retirement', 'middleaged', 'raise', 'unit', 'level', 'coronavirus', 'crisis', 'may', 'bring', 'change', 'far', 'complicate', 'carrier', 'emission', 'europe', 'large', 'iag', 'franceklm', 'lufthansa', 'hsbc', 'believe', 'corporate', 'travel', 'reduce', 'sharply', 'encourage', 'cut', 'premium', 'share', 'seat', 'result', 'high', 'density', 'act', 'improve', 'perunit', 'emission', 'enough', 'completely', 'outweigh', 'impact', 'slow', 'capex', 'carrier', 'example', 'hsbc', 'expect', 'iag', 'emission', 'per', 'available', 'seatkilometre', 'precoronavirus', 'estimate', 'current', 'level', 'carrier', 'pull', 'back', 'premium', 'seat', 'low', 'europe', 'large', 'lowcost', 'carrier', 'easyjet', 'ryanair', 'wizz', 'easyjet', 'currently', 'high', 'emission', 'per', 'ask', 'operates', 'small', 'wizz', 'operating', 'large', 'low', 'hsbc', 'expect', 'distinction', 'increase', 'ryanair', 'wizz', 'planning', 'push', 'fleet', 'development', 'plan', 'easyjet', 'defer', 'onorder', 'easyjet', 'per', 'ask', 'see', 'decline', 'currently', 'although', 'without', 'pandemic', 'fall', 'wizz', 'emission', 'reduce', 'ryanair', 'see', 'small', 'fall', 'per', 'unit', 'emission', 'pandemic', 'occur', 'give', 'impact', 'coronavirus', 'industry', 'hsbc', 'expect', 'overall', 'asks', 'low', 'sector', 'whole', 'remain', 'reliant', 'biofuels', 'offset', 'scheme', 'hold', 'emission', 'level', 'agree', 'icao', 'corsia', 'programme']"
"Portuguese maintenance firm OGMA has clashed with accident investigators over conclusions drawn from a serious Embraer 190 incident during which the aircraft departed with cross-rigged aileron cables, almost leading to the loss of the jet. OGMA has strongly objected to several findings from investigation authority GPIAAF, arguing that the inquiry disproportionately assigns responsibility to the maintenance operation. The Air Astana aircraft had taken off from Alverca do Ribatejo air base, bound for Minsk and Almaty, on 11 November 2018 after undergoing scheduled maintenance at OGMA's facilities. But the cross-rigging of the ailerons left the crew struggling to control the jet's attitude, notably in the roll axis. Such was the severity of the situation that, at one point, the pilots sought to head for the sea in order to ditch, before they managed to regain a degree of control and eventually land. The inquiry determined the improper aileron cable installation to be the probable cause of the incident, identifying lack of an effective safety-management system and inadequate independent procedures to detect maintenance escapes. As part of the maintenance work the E190's aileron cables were disconnected, to be re-routed and replaced. But testing was delayed and personnel without relevant experience, who found the maintenance instructions difficult to follow, temporarily reconnected the cables. GPIAAF states that the crossover error went undetected during extensive subsequent troubleshooting and testing. Its inquiry mentions “weaknesses” in the aircraft's design – which had allowed the cables to be inverted – plus flaws in the presentation of the cable routing in maintenance publications, and it points out that the crew had not detected the improper aileron functioning during pre-flight checks. But the conclusions over the maintenance work have triggered a sharp and extensive response from OGMA, running to 14 pages, which recognises that its technicians failed to install the aileron cables properly but which also claims that it is being unjustly singled out. “The message conveyed by the report to any average reader is that only OGMA was at fault and that no other parties had any real contribution for the incident,” it states. “That is inaccurate and incorrect and creates an unfair balance in the report.” OGMA claims it has been “heavily criticised” throughout the inquiry for not having fully implemented a safety-management system, and defends itself by stating that it is “not legally required to do so” – noting that such a measure is still under a rulemaking process, and is not likely to enforce such implementation until around 2022-23 at the earliest. But it adds that it has “already started” implementing a safety-management system, ahead of any legal obligation, for which it says it “should be praised”. “Not being a legal requirement OGMA's [safety-management system] should not be a focus of the report and cannot be deemed to have had any impact whatsoever on the incident,” it says. OGMA has particularly brought up the fact that the aircraft's crew missed the opportunity to detect the maintenance blunder through the routine pre-flight control check. It argues that a maintenance release to service is “not a certificate” for the aircraft's airworthiness and that the operator is the party responsible for ensuring the aircraft is in flying condition – with the crew particularly alert given that the jet had just come out of heavy maintenance. “The aviation industry safety net is established in such way that the pilot-in-command is, by law, the ultimate [person] responsible for the safe operation of the aircraft,” says OGMA. It states that the crew is effectively the “last safety barrier” for preventing an accident. “All things considered, in OGMA's view the crew's failure in detecting the ailerons misconfiguration during the [pre-flight check] is clearly less excusable than the [maintenance company's] failure in detecting the same problem during the maintenance operational checks,” the company says. It accuses the inquiry of “different treatment and assessment” of OGMA's operational checks compared with those of the crew, and that this is “unreasonable and clearly unfair”. OGMA also questions whether sufficient analysis was paid to the crew's handling of the severe flight-control problems, whether the aircraft's flight manual should have addressed the issue, and whether the pilots followed any procedures correctly. Several other matters from the inquiry are brought up in the critique, some of which are “detrimental” to OGMA's reputation, the company insists. Investigation authority GPIAAF says its task is not to assign blame or liability, in line with international standards, but it has included OGMA's comments to “ensure transparency”, even though the inquiry had not sought opinions but rather comments on any factual errors. GPIAAF has largely resisted responding to OGMA's comments, with the exception of a few notes for “clarification” where it believes the company has made “non-supported or biased statements” which were “clearly out of scope” in regards to the consultation process for the draft inquiry report.",6,5,6.0,0.3726,"engine, maintenance, fuel, takeoff, result, failure, system, problem, power, issue","['portuguese', 'maintenance', 'firm', 'ogma', 'clashed', 'accident', 'investigator', 'conclusion', 'drawn', 'serious', 'embraer', 'incident', 'depart', 'crossrigged', 'aileron', 'cable', 'almost', 'lead', 'loss', 'jet', 'ogma', 'strongly', 'object', 'several', 'finding', 'investigation', 'authority', 'gpiaaf', 'argue', 'inquiry', 'disproportionately', 'assigns', 'responsibility', 'maintenance', 'operation', 'astana', 'take', 'alverca', 'ribatejo', 'base', 'bound', 'minsk', 'almaty', 'november', 'undergo', 'schedule', 'maintenance', 'ogma', 'facility', 'crossrigging', 'aileron', 'left', 'crew', 'struggle', 'control', 'jet', 'attitude', 'notably', 'roll', 'axis', 'severity', 'situation', 'point', 'pilot', 'sought', 'head', 'sea', 'order', 'ditch', 'manage', 'regain', 'degree', 'control', 'eventually', 'land', 'inquiry', 'determine', 'improper', 'aileron', 'cable', 'installation', 'probable', 'cause', 'incident', 'identify', 'lack', 'effective', 'safetymanagement', 'system', 'inadequate', 'independent', 'procedure', 'detect', 'maintenance', 'escape', 'part', 'maintenance', 'work', 'aileron', 'cable', 'disconnect', 'rerouted', 'replace', 'test', 'delayed', 'personnel', 'without', 'relevant', 'experience', 'found', 'maintenance', 'instruction', 'difficult', 'follow', 'temporarily', 'reconnected', 'cable', 'gpiaaf', 'state', 'crossover', 'error', 'go', 'undetected', 'extensive', 'subsequent', 'troubleshoot', 'test', 'inquiry', 'mention', 'weakness', 'design', 'allow', 'cable', 'invert', 'plus', 'flaw', 'presentation', 'cable', 'rout', 'maintenance', 'publication', 'point', 'crew', 'detect', 'improper', 'aileron', 'function', 'preflight', 'check', 'conclusion', 'maintenance', 'work', 'trigger', 'sharp', 'extensive', 'response', 'ogma', 'run', 'page', 'recognises', 'technician', 'fail', 'install', 'aileron', 'cable', 'properly', 'claim', 'unjustly', 'single', 'message', 'conveyed', 'report', 'average', 'reader', 'ogma', 'fault', 'party', 'real', 'contribution', 'incident', 'state', 'inaccurate', 'incorrect', 'creates', 'unfair', 'balance', 'ogma', 'claim', 'heavily', 'criticise', 'throughout', 'inquiry', 'fully', 'implement', 'safetymanagement', 'system', 'defends', 'state', 'legally', 'require', 'note', 'measure', 'still', 'rulemaking', 'process', 'likely', 'enforce', 'implementation', 'around', 'early', 'add', 'already', 'start', 'implement', 'safetymanagement', 'system', 'ahead', 'legal', 'obligation', 'say', 'praise', 'legal', 'requirement', 'ogma', 'safetymanagement', 'system', 'focus', 'report', 'deem', 'impact', 'whatsoever', 'incident', 'say', 'ogma', 'particularly', 'brought', 'fact', 'crew', 'miss', 'opportunity', 'detect', 'maintenance', 'blunder', 'routine', 'preflight', 'control', 'check', 'argues', 'maintenance', 'release', 'service', 'certificate', 'airworthiness', 'operator', 'party', 'responsible', 'ensure', 'fly', 'condition', 'crew', 'particularly', 'alert', 'give', 'jet', 'come', 'heavy', 'maintenance', 'industry', 'safety', 'net', 'establish', 'way', 'pilotincommand', 'law', 'ultimate', 'person', 'responsible', 'safe', 'operation', 'say', 'ogma', 'state', 'crew', 'effectively', 'safety', 'barrier', 'prevent', 'accident', 'thing', 'consider', 'ogma', 'view', 'crew', 'failure', 'detect', 'aileron', 'misconfiguration', 'preflight', 'check', 'clearly', 'less', 'excusable', 'maintenance', 'failure', 'detect', 'problem', 'maintenance', 'operational', 'check', 'say', 'accuses', 'inquiry', 'different', 'treatment', 'assessment', 'ogma', 'operational', 'check', 'compare', 'crew', 'unreasonable', 'clearly', 'unfair', 'ogma', 'question', 'whether', 'sufficient', 'analysis', 'paid', 'crew', 'handle', 'severe', 'flightcontrol', 'problem', 'whether', 'manual', 'address', 'issue', 'whether', 'pilot', 'follow', 'procedure', 'correctly', 'several', 'matter', 'inquiry', 'brought', 'critique', 'detrimental', 'ogma', 'reputation', 'insists', 'investigation', 'authority', 'gpiaaf', 'say', 'task', 'assign', 'blame', 'liability', 'line', 'international', 'standard', 'include', 'ogma', 'comment', 'ensure', 'transparency', 'even', 'though', 'inquiry', 'sought', 'opinion', 'rather', 'comment', 'factual', 'error', 'gpiaaf', 'largely', 'resist', 'respond', 'ogma', 'comment', 'exception', 'note', 'clarification', 'believe', 'make', 'nonsupported', 'bias', 'statement', 'clearly', 'scope', 'regard', 'consultation', 'process', 'draft', 'inquiry', 'report']"
